"","Var1","Freq"
"1","2<U+2009>×<U+2009>2 factorial design",1
"2","3-way data",1
"3","Aedes aegypti",1
"4","AIDS",1
"5","algorithm",1
"6","antigen",1
"7","antigenic cartography",1
"8","assortativity",1
"9","balanced design",1
"10","Bayesian",1
"11","Bayesian methods",1
"12","Bayesian nonparametric mixture models",1
"13","beta barrel",1
"14","Biostatistics",9
"15","Blended learning",1
"16","bootstrap",1
"17","Candecomp/Parafac",1
"18","causal inference",1
"19","censoring",1
"20","Classification",1
"21","classification algorithm",1
"22","clustering",1
"23","Cochrane",1
"24","Competences",1
"25","competing risks",3
"26","Computers",5
"27","Computers, statistics",2
"28","constrained binary classification",1
"29","constrained distribution",1
"30","control rate",1
"31","cross-validation",2
"32","cumulative incidence",1
"33","cure fraction",1
"34","Curriculum design",1
"35","curse of dimensionality",1
"36","de Bruijn graph",1
"37","dependent data ensemble learning",1
"38","dependent happenings",1
"39","detection limit",1
"40","directed acyclic graph",1
"41","effectiveness of subgrouping",1
"42","Efficacy",1
"43","egocentric data",1
"44","EM algorithm",1
"45","ensemble classification, cross-validation",1
"46","epidemic model",1
"47","epidemiology",2
"48","epitope",1
"49","ERGM",1
"50","expectation-maximisation",1
"51","expected time to signal",1
"52","experimental design",1
"53","factorial designs",1
"54","flexible parametric",1
"55","generalized linear mixed model",1
"56","generalized Willmore energy",1
"57","genotyping-by-sequencing",1
"58","global health",1
"59","healthcare system evaluation",1
"60","herd immunity",1
"61","heterogeneity",1
"62","heterogeneous costs",1
"63","heterogeneous variance",1
"64","higher-order asymptotics",1
"65","HIV care cascade",1
"66","HIV care continuum",1
"67","hospital care data",1
"68","indirect effects",1
"69","injury prevention",1
"70","Inverse distance weighting",1
"71","joint model",1
"72","kernel smoothing",1
"73","likelihood inference",1
"74","Local polynomial interpolation",1
"75","longitudinal data",1
"76","machine learning",1
"77","Malaria",1
"78","Manifold valued statistics",1
"79","Master",1
"80","mean curvature",1
"81","measurement error",3
"82","Medical education",1
"83","meta-analysis",1
"84","Meta-analysis",1
"85","meta-epidemiology",1
"86","minimal surface",1
"87","missing at random",1
"88","mixed-effects models",1
"89","mixture model",1
"90","Möbius transformation",1
"91","Moderate resolution imaging spectroradiometer",1
"92","Monte Carlo Newton-Raphson",1
"93","multicenter trial",1
"94","multiple comparisons",1
"95","multistate models",1
"96","network sampling",1
"97","next-generation sequencing",1
"98","Neyman-Pearson, sensitivity",1
"99","nonlinear mixed effects model",1
"100","nonparametric likelihood",1
"101","nonparametric regression",1
"102","nonparametrics",1
"103","online estimation",1
"104","Ordinary kriging",1
"105","Perceptions",1
"106","personalized treatment",1
"107","Phi coefficient",1
"108","phylodynamics",1
"109","potential outcome",1
"110","precision medicine",1
"111","predictive biomarker",1
"112","PrEP",1
"113","Preventive measures",1
"114","Principal geodesic analysis",1
"115","protein structure",1
"116","pseudoscore",1
"117","Public health",1
"118","Radial basis function",1
"119","random effects linear model",1
"120","randomised trials",1
"121","rare events",1
"122","rate of positive predictions",1
"123","reduced-representation sequencing",1
"124","regression",1
"125","reporting error",1
"126","Riemannian metrics",1
"127","ROC curves",1
"128","Science Forum",1
"129","score statistic",1
"130","sequential probability ratio test",1
"131","sex-specific markers",1
"132","sexual networks",1
"133","Software",7
"134","Sports Biostatisticians",1
"135","sports medicine",1
"136","sports science",1
"137","state transition representation",1
"138","Statistical shape analysis",1
"139","statistics",1
"140","Statistics",5
"141","stochastic gradient descent",1
"142","subdistribution",1
"143","subdistribution hazards",1
"144","subgroup analysis",1
"145","Super Learner",1
"146","surveillance",1
"147","survival analysis",2
"148","targeted minimum loss-based estimation",1
"149","tensor-based methods",1
"150","time-series",1
"151","treatment effect heterogeneity",1
"152","Tucker3",1
"153","vaccination",1
"154","vaccine",1
"155","von Mises distribution",1
"156","wrapped Cauchy distribution",1
"157","Y chromosome",1
