"","title","authors","keywords","doi"
"1","Sports Biostatistician: a critical member of all sports science and medicine teams for injury prevention.","Casals M,,, Finch CF.","Sports Biostatisticians; epidemiology; injury prevention; sports medicine; sports science","10.1136/bjsports-2016-042211rep"
"2","Assessment of a block curriculum design on medical postgraduates' perception towards biostatistics: a cohort study.","Li C, Wang L, Zhang Y, Li C, Xu Y, Shang L, Xia J.","Biostatistics; Curriculum design; Medical education; Perceptions","10.1186/s12909-018-1232-0"
"3","Evaluation and application of summary statistic imputation to discover new height-associated loci.","Rüeger S,, McDaid A,, Kutalik Z,.","NA","10.1371/journal.pgen.1007371"
"4","Comparative effectiveness of malaria prevention measures: a systematic review and network meta-analysis.","Wangdi K, Furuya-Kanamori L,, Clark J, Barendregt JJ,, Gatton ML, Banwell C, Kelly GC, Doi SAR,, Clements ACA.","Efficacy; Malaria; Meta-analysis; Preventive measures","10.1186/s13071-018-2783-y"
"5","Postgraduate Medical Trainees Understanding of Biostatistics: A Pre- and Post-Research Methodology Workshop Experience.","Shafi MS, Faisal T, Naseem S, Javed S.","NA","10.29271/jcpsp.2018.03.196"
"6","Improving access to state of the art statistical methods for use in applied clinical research.","Lu R, Iqbal U, Jack Li YC.","NA","10.1016/S0169-2607(18)30040-3"
"7","WASP (Write a Scientific Paper) using Excel - 7: The t-distribution.","Grech V.","Biostatistics; Computers; Software; Statistics","10.1016/j.earlhumdev.2018.02.015"
"8","WASP (Write a Scientific Paper) using Excel -5: Quartiles and standard deviation.","Grech V.","Biostatistics; Computers, statistics; Software","10.1016/j.earlhumdev.2018.01.012"
"9","Genetic sex assignment in wild populations using genotyping-by-sequencing data: A statistical threshold approach.","Stovall WR, Taylor HR, Black M, Grosser S, Rutherford K, Gemmell NJ.","Y chromosome; genotyping-by-sequencing; next-generation sequencing; reduced-representation sequencing; sex-specific markers","10.1111/1755-0998.12767"
"10","Comparison of common burden tests for genetic association studies of rare variants.","Lin XQ, Liang R, Zhang JG, Pi LC, Chen SD, Liu L, Gao YH.","NA","10.16288/j.yczz.17-174"
"11","WASP (Write a Scientific Paper) using Excel - 6: Standard error and confidence interval.","Grech V.","Biostatistics; Computers; Software; Statistics","10.1016/j.earlhumdev.2018.01.013"
